dam_name,restricted,year_completed,normal_storage,county,stream,downstream_town,town_distance,last_inspection_date,details,latitude,longitude
Left Hand Park,FALSE,1966,1429,Boulder,Left Hand Creek,Longmont,28,08/27/2019,https://dwr.state.co.us/Tools/DamSafety/Details/050209,40.069894,-105.557515
Boulder - South,FALSE,1955,13300,Boulder,Little Dry Creek,Boulder,1,11/21/2018,https://dwr.state.co.us/Tools/DamSafety/Details/060317,40.075841,-105.213345
Boulder - North,FALSE,1955,13300,Boulder,Dry Creek,Boulder,1,11/21/2018,https://dwr.state.co.us/Tools/DamSafety/Details/060104,40.078339,-105.212226
Fort Lupton Terminal,FALSE,2018,253,Weld,Tributary To Beebe Draw,Unincorpirated Weld County,1,06/04/2019,https://dwr.state.co.us/Tools/DamSafety/Details/020665,40.099595,-104.736153
Left Hand Valley,FALSE,1952,1624,Boulder,Dry Creek,Boulder,3,08/01/2019,https://dwr.state.co.us/Tools/DamSafety/Details/050210,40.099673,-105.261345
Taylor Draw,FALSE,1984,13800,Rio Blanco,White River,Rangely,2,09/18/2019,https://dwr.state.co.us/Tools/DamSafety/Details/430204,40.107313,-108.711991
Ritschard,FALSE,1995,65985,Grand,Muddy Creek,Kremmling,5,05/15/2019,https://dwr.state.co.us/Tools/DamSafety/Details/500133,40.113068,-106.415296
Beaver Park,FALSE,1892,2161,Boulder,Beaver Creek,Lyons,18,09/10/2019,https://dwr.state.co.us/Tools/DamSafety/Details/050108,40.118876,-105.519364
Lagerman,FALSE,1878,923,Boulder,Dry Creek,Longmont,3,11/30/2018,https://dwr.state.co.us/Tools/DamSafety/Details/050207,40.133318,-105.184355
Willow Creek,FALSE,1953,10600,Grand,Willow Creek,Hot Sulphur Springs,13,07/22/2019,https://dwr.state.co.us/Tools/DamSafety/Details/510128,40.148335,-105.942231
Granby,FALSE,1950,539800,Grand,N. Fork Colorado River,Hot Sulphur Springs,15,07/20/2016,https://dwr.state.co.us/Tools/DamSafety/Details/510108,40.148336,-105.867234
Sheriff,TRUE,1955,987,Rio Blanco,Trout Creek,Milner,25,10/02/2019,https://dwr.state.co.us/Tools/DamSafety/Details/570129,40.148892,-107.137233
Clover Basin,FALSE,1910,584,Boulder,Dry Creek,Longmont,3,10/03/2019,https://dwr.state.co.us/Tools/DamSafety/Details/050117,40.152524,-105.186368
Mcmahon #2,FALSE,1913,3460,Grand,Red Dirt Creek,Kremmling,18,10/08/2019,https://dwr.state.co.us/Tools/DamSafety/Details/500115,40.178332,-106.572227
Foothills,FALSE,1911,4139,Boulder,St. Vrain Creek,Longmont,3,06/28/2019,https://dwr.state.co.us/Tools/DamSafety/Details/050124,40.189088,-105.220007
Mccall,FALSE,1909,510,Boulder,St. Vrain Creek,Longmont,5,08/29/2019,https://dwr.state.co.us/Tools/DamSafety/Details/050218,40.202083,-105.203388
Shadow Mountain,FALSE,1946,18400,Grand,N. Fork Colorado River,Hot Sulphur Springs,21,08/08/2017,https://dwr.state.co.us/Tools/DamSafety/Details/510123,40.208334,-105.842229
Longmont Wtp Forebay Embankment,FALSE,2005,102,Boulder,St. Vrain Creek,Hygiene,4,08/29/2019,https://dwr.state.co.us/Tools/DamSafety/Details/050328,40.216394,-105.230285
Button Rock,FALSE,1969,16080,Boulder,North St. Vrain Creek,Lyons,9,09/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/050112,40.217059,-105.36705
Pleasant Valley,FALSE,1868,2915,Boulder,St. Vrain Creek,Longmont,2,06/06/2019,https://dwr.state.co.us/Tools/DamSafety/Details/050234,40.223414,-105.122987
Milton Lake,FALSE,1911,21695,Weld,Beebe Seep Canal,Kersey,11,11/05/2018,https://dwr.state.co.us/Tools/DamSafety/Details/020304,40.238481,-104.637757
Ish #3 (Main Dam),FALSE,1905,7128,Larimer,Big Thompson River,Berthoud,3,07/16/2019,https://dwr.state.co.us/Tools/DamSafety/Details/040131,40.26309,-105.095552
Empire (Outlet Embankment),FALSE,1905,37710,Weld,South Platte River,Orchard,5,07/11/2019,https://dwr.state.co.us/Tools/DamSafety/Details/010210,40.273178,-104.188757
Empire (Nw Embankment),FALSE,1905,37710,Weld,South Platte River,Orchard,5,07/11/2019,https://dwr.state.co.us/Tools/DamSafety/Details/010726,40.276369,-104.182473
Empire (East Embankment),FALSE,1905,37710,Weld,South Platte River,Orchard,4,07/11/2019,https://dwr.state.co.us/Tools/DamSafety/Details/010728,40.27665,-104.140524
Crow Lane No. 1,FALSE,2008,37,Larimer,Unamed Trib Lt Thompson,Lyons,8.6,09/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/040247,40.276684,-105.358232
Empire (Mcintyre Dike),FALSE,1905,37710,Weld,South Platte River,Orchard,5,07/11/2019,https://dwr.state.co.us/Tools/DamSafety/Details/010727,40.278034,-104.167184
Stagecoach,FALSE,1989,36400,Routt,Yampa River,Steamboat Springs,16,07/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/580305,40.286679,-106.842228
Dry Creek,FALSE,2007,8900,Larimer,Dry Creek,Berthoud,0.2,09/09/2019,https://dwr.state.co.us/Tools/DamSafety/Details/040246,40.294559,-105.161273
Handy,FALSE,1915,6747,Larimer,Dry Creek,Berthoud,2,07/16/2019,https://dwr.state.co.us/Tools/DamSafety/Details/040126,40.322101,-105.115974
Carter Lake Dam #1,FALSE,1952,112200,Larimer,Dry Creek,Berthoud,8,06/07/2016,https://dwr.state.co.us/Tools/DamSafety/Details/040106,40.32501,-105.212232
Whiteley Peak,FALSE,1941,773,Grand,Diamond Cr,Kremmling,21,06/15/2018,https://dwr.state.co.us/Tools/DamSafety/Details/500121,40.328334,-106.517236
Riverside,FALSE,1908,63303,Weld,Sanborn Draw,Orchard,7,11/29/2018,https://dwr.state.co.us/Tools/DamSafety/Details/010506,40.328503,-104.243079
Johnstown,FALSE,1953,122,Weld,Big Thompson River,Johnstown,2,05/24/2019,https://dwr.state.co.us/Tools/DamSafety/Details/040132,40.337504,-104.95918
Carter Lake Dam #2,FALSE,1952,112200,Larimer,Dry Creek,Berthoud,8,06/07/2016,https://dwr.state.co.us/Tools/DamSafety/Details/040107,40.34001,-105.207228
Carter Lake Dam #3,FALSE,1952,112200,Larimer,Big Thompson River,Loveland,9,06/07/2016,https://dwr.state.co.us/Tools/DamSafety/Details/040108,40.35168,-105.210573
Lake Catamount,FALSE,1974,7422,Routt,Yampa River,Steamboat Springs,8,05/24/2019,https://dwr.state.co.us/Tools/DamSafety/Details/580214,40.365007,-106.800572
Lon Hagler,FALSE,1967,5228,Larimer,Big Thompson River,Loveland,4,07/03/2019,https://dwr.state.co.us/Tools/DamSafety/Details/040137,40.366883,-105.143
Flatiron,FALSE,1953,1000,Larimer,Dry Creek,Loveland,7,06/27/2016,https://dwr.state.co.us/Tools/DamSafety/Details/040124,40.371673,-105.228904
Jackson Lake,FALSE,1900,27256,Morgan,South Platte River,Goodrich,2,11/20/2018,https://dwr.state.co.us/Tools/DamSafety/Details/010227,40.372863,-104.077886
Olympus,FALSE,1949,3100,Larimer,Big Thompson River,Loveland,25,08/10/2016,https://dwr.state.co.us/Tools/DamSafety/Details/040134,40.376677,-105.488896
Erickson,FALSE,1906,142,Weld,Ashcroft Draw,Evans,3,12/10/2018,https://dwr.state.co.us/Tools/DamSafety/Details/020637,40.379501,-104.789644
Mariano,FALSE,1889,5550,Larimer,Big Thompson River,Loveland,2,07/03/2019,https://dwr.state.co.us/Tools/DamSafety/Details/040203,40.384708,-105.130867
Lake Loveland,FALSE,1894,12736,Larimer,Big Thompson River,Loveland,0,06/11/2019,https://dwr.state.co.us/Tools/DamSafety/Details/040135,40.404876,-105.087479
Rist - Benson,FALSE,1903,456,Larimer,Big Thompson River,Loveland,0.1000000015,07/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/040208,40.407795,-105.117512
Equalizer,FALSE,1902,1139,Larimer,Trib Of Big T. River,Milliken,12,08/15/2019,https://dwr.state.co.us/Tools/DamSafety/Details/040231,40.414432,-105.002698
Boyd Lake,FALSE,1900,48871,Larimer,Big Thompson River,Loveland,0,08/15/2019,https://dwr.state.co.us/Tools/DamSafety/Details/040105,40.42069,-105.024517
Loveland Water Storage,FALSE,1977,6836,Larimer,Big Thompson River,Loveland,5,08/03/2019,https://dwr.state.co.us/Tools/DamSafety/Details/040217,40.429761,-105.211417
Prewitt,TRUE,1912,28840,Washington,South Platte River,Merino,8,10/16/2019,https://dwr.state.co.us/Tools/DamSafety/Details/640108,40.430011,-103.370571
Long Lake,FALSE,1942,396,Routt,South Fork Fish Creek,Steamboat Springs,9,08/22/2019,https://dwr.state.co.us/Tools/DamSafety/Details/580118,40.475838,-106.688337
Windsor Lake,FALSE,1904,3008,Weld,Cache La Poudre River,Windsor,0.1,11/04/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030336,40.480772,-104.894899
Fossil Creek,FALSE,1903,11100,Larimer,Fossil Creek,Windsor,3,10/21/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030135,40.491675,-104.993898
Fish Creek,FALSE,1954,4167,Routt,Middle Fork Fish Creek,Steamboat Springs,7,08/22/2019,https://dwr.state.co.us/Tools/DamSafety/Details/580108,40.493899,-106.705569
Fish Creek Saddle,FALSE,1972,4167,Routt,Middle Fork Fish Creek,Steamboat Springs,7,08/22/2019,https://dwr.state.co.us/Tools/DamSafety/Details/580313,40.496679,-106.699727
Long Draw,FALSE,1975,10900,Larimer,La Poudre Pass Creek,Fort Collins,37,07/30/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030217,40.503517,-105.77256
Hunters Overlook Reservoir,FALSE,2018,340,Weld,,,,05/16/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030538,40.515819,-104.887124
Spring Canyon,FALSE,1949,152000,Larimer,Spring Creek,Fort Collins,0.5,06/09/2016,https://dwr.state.co.us/Tools/DamSafety/Details/030323,40.530002,-105.142236
Windsor,FALSE,1978,17538,Weld,Cache La Poudre River,Windsor,3,11/05/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030335,40.531675,-104.870568
Warren Lake,FALSE,1882,2185,Larimer,Cache La Poudre,Windsor,3,10/15/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030330,40.535086,-105.054798
Cache La Poudre,FALSE,1977,10070,Larimer,Cache La Poudre River,Timnath,1,11/04/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030327,40.540867,-104.959199
Dixon Canyon,FALSE,1949,152000,Larimer,Dixon Creek,Fort Collins,1,06/08/2016,https://dwr.state.co.us/Tools/DamSafety/Details/030125,40.555003,-105.148904
Elkhead Creek,FALSE,1979,24778,Moffat,Elkhead Creek,Craig,7,05/09/2019,https://dwr.state.co.us/Tools/DamSafety/Details/440126,40.557789,-107.383619
Joe Wright,FALSE,1979,7161,Larimer,Joe Wright Creek,Fort Collins,46,08/07/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030402,40.5594,-105.871111
Peterson Lake,FALSE,1973,1183,Larimer,Cache La Poudre River,Fort Collins,42,08/14/2018,https://dwr.state.co.us/Tools/DamSafety/Details/030313,40.560314,-105.793045
College #3,FALSE,1919,782,Larimer,Cache La Poudre,Fort Collins,2,10/23/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030120,40.580707,-105.147484
Hourglass,FALSE,1898,1729,Larimer,Beaver Creek,Fort Collins,37,07/30/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030209,40.582265,-105.631449
Comanche,FALSE,1966,2629,Larimer,Beaver Creek,Fort Collins,33,07/31/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030121,40.584758,-105.644778
Soldier Canyon,FALSE,1949,152000,Larimer,Cache La Poudre River,Fort Collins,0.5,06/09/2016,https://dwr.state.co.us/Tools/DamSafety/Details/030324,40.588336,-105.162236
Horsetooth,FALSE,1949,152000,Larimer,Cache La Poudre,Fort Collins,5,06/08/2016,https://dwr.state.co.us/Tools/DamSafety/Details/030208,40.598333,-105.170569
Barnes Meadow,FALSE,1923,2329,Larimer,Joe Wright Creek,Fort Collins,44,08/28/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030104,40.600004,-105.835566
Satanka,FALSE,1949,152000,Larimer,Cache La Poudre River,Fort Collins,2,06/08/2016,https://dwr.state.co.us/Tools/DamSafety/Details/030317,40.60001,-105.175573
Chambers Lake,FALSE,1924,8854,Larimer,Joe Wright Creek,Fort Collins,43,07/30/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030115,40.607255,-105.844403
East Side Detention Facility,FALSE,2016,1166,Larimer,Boxelder Creek,Timnath,,05/29/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030527,40.610494,-104.98891
Black Hollow,FALSE,1918,8058,Weld,Black Hollow Creek,Severance,7,10/24/2018,https://dwr.state.co.us/Tools/DamSafety/Details/030107,40.611152,-104.870686
Terry Lake,FALSE,1890,8345,Larimer,Dry Creek,Fort Collins,0.1,06/18/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030326,40.617028,-105.076252
Long Pond,FALSE,1922,3500,Larimer,Dry Creek,Fort Collins,2,06/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030216,40.618563,-105.052786
Richards,FALSE,1904,515,Larimer,Cache La Poudre River,Fort Collins,2,06/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030315,40.628724,-105.05497
Water Supply No 4,FALSE,1880,1480,Larimer,Dry Creek,Fort Collins,2,06/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030333,40.645174,-105.085332
Elder,FALSE,1904,666,Larimer,Cache La Poudre River,Fort Collins,5,04/18/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030131,40.646802,-105.040023
Cobb Lake,FALSE,1953,22300,Larimer,Cache La Poudre River,Windsor,12,06/12/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030119,40.65195,-104.9729
Windsor #8,FALSE,1903,8993,Larimer,Cache La Poudre River,Fort Collins,3,04/18/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030337,40.655007,-105.045575
Water Supply No 3,FALSE,1944,3350,Larimer,Dry Creek,Fort Collins,2,06/13/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030332,40.657361,-105.088233
Kluver,FALSE,1925,1147,Larimer,Cache La Poudre River,Fort Collins,3,06/13/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030212,40.657587,-105.09752
Indian Creek,FALSE,1948,1697,Larimer,Indian Creek,Timnath,16,09/08/2018,https://dwr.state.co.us/Tools/DamSafety/Details/030210,40.660442,-104.960392
Offield,FALSE,1914,350,Moffat,Pot Creek,"Ouray, Utah",51,06/25/2019,https://dwr.state.co.us/Tools/DamSafety/Details/560106,40.661674,-108.998896
Flood Control Basin No. 1,FALSE,2006,0,Larimer,Dry Creek,Fort Collins,1,06/19/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030526,40.662384,-105.103324
Rocky Ridge,FALSE,1940,4270,Larimer,Cache La Poudre River,Fort Collins,5,06/13/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030316,40.665592,-105.080199
North Poudre # 6,FALSE,1905,10969,Larimer,Cache La Poudre River,Fort Collins,5,08/29/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030303,40.669274,-105.026785
North Poudre # 5,FALSE,1905,7704,Larimer,Cache La Poudre River,Fort Collins,6,08/29/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030302,40.687216,-105.037893
Douglas,FALSE,1901,8940,Larimer,Dry Creek,Fort Collins,8,05/20/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030126,40.703874,-105.087087
Milton Seaman,FALSE,1948,5008,Larimer,N Fork Cache La Poudre,Laporte,10,08/02/2018,https://dwr.state.co.us/Tools/DamSafety/Details/030223,40.706672,-105.237233
North Poudre # 2,FALSE,1955,3748,Larimer,Cache La Poudre River,Fort Collins,12,08/15/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030237,40.714202,-105.050292
North Poudre # 3,FALSE,1980,3080,Larimer,Boxelder Creek,Wellington,2,08/15/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030238,40.73253,-105.038451
Floodwater Ret. B-4,FALSE,1978,1270,Larimer,Indian Creek,Wellington,5,09/21/2016,https://dwr.state.co.us/Tools/DamSafety/Details/030414,40.771094,-104.957411
North Poudre #15,FALSE,1949,5560,Larimer,Dry Creek,Fort Collins,15,07/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030305,40.775119,-105.121807
Lester Creek,FALSE,1962,5592,Routt,Lester Creek,Milner,20,07/22/2019,https://dwr.state.co.us/Tools/DamSafety/Details/580113,40.780008,-106.888902
Point Of Rocks,FALSE,1948,74590,Logan,Cedar Creek,Iliff,9,10/09/2019,https://dwr.state.co.us/Tools/DamSafety/Details/640107,40.785229,-103.266339
Willow Creek,FALSE,1966,23064,Routt,Willow Creek,Milner,21,07/22/2019,https://dwr.state.co.us/Tools/DamSafety/Details/580210,40.791676,-106.947237
Floodwater Ret. B-3,FALSE,1979,3839,Larimer,Coal Creek,Wellington,5,09/21/2016,https://dwr.state.co.us/Tools/DamSafety/Details/030415,40.80001,-104.992234
Floodwater Ret. B-2,FALSE,1982,6470,Larimer,Boxelder Creek,Wellington,9,09/21/2016,https://dwr.state.co.us/Tools/DamSafety/Details/030505,40.821681,-105.072228
Park Creek,FALSE,1970,7343,Larimer,Park Creek,Fort Collins,17,08/08/2019,https://dwr.state.co.us/Tools/DamSafety/Details/030308,40.837026,-105.151597
Rawhide,FALSE,1980,15400,Larimer,Coal Creek,Wellington,13,08/30/2018,https://dwr.state.co.us/Tools/DamSafety/Details/030508,40.848168,-105.020391
Panhandle,FALSE,1971,1018,Larimer,Panhandle Creek,Fort Collins,32,08/08/2018,https://dwr.state.co.us/Tools/DamSafety/Details/030307,40.850083,-105.645848
Halligan,FALSE,1970,6428,Larimer,N Fork Cache La Poudre,Fort Collins,23,05/18/2018,https://dwr.state.co.us/Tools/DamSafety/Details/030204,40.879234,-105.337083
Julesburg #1A,FALSE,1910,16817,Logan,Cottonwood Creek,Dorsey,,10/16/2018,https://dwr.state.co.us/Tools/DamSafety/Details/640213,40.91962,-102.656345
Julesburg #1,FALSE,1910,23202,Logan,Cottonwood Creek,Dorsey,,10/16/2018,https://dwr.state.co.us/Tools/DamSafety/Details/640212,40.920756,-102.66438
Julesburg #3,FALSE,1910,27919,Sedgwick,Cottonwood Creek,Dorsey,2.8,10/16/2018,https://dwr.state.co.us/Tools/DamSafety/Details/640215,40.920879,-102.643024
Julesburg #2,FALSE,1910,28178,Sedgwick,Cottonwood Creek,Dorsey,2.9,10/16/2018,https://dwr.state.co.us/Tools/DamSafety/Details/640214,40.921745,-102.649252
Julesburg #4,TRUE,1910,27186,Sedgwick,South Platte River,Sedgwick,7,10/16/2018,https://dwr.state.co.us/Tools/DamSafety/Details/640104,40.938905,-102.632121
